,Titre,MLS,Lien,Image,Prix,Type,Rue,Ville,Superficie
0,"Terrain à vendre à Château-Richer, Capitale-Nationale, Avenue Royale, 23364419 - Centris.ca",23364419,https://www.centris.ca/fr/terrain~a-vendre~chateau-richer/23364419,https://mspublic.centris.ca/media.ashx?id=ADDD250DE043A17DDDDDDDDDD2&t=pi&w=320&h=240&sm=c,204 000 $,Terrain à vendre,Avenue Royale,Château-Richer,106 886 pc
1,"Terrain à vendre à Shannon, Capitale-Nationale, 1, Chemin de Dublin, 13199218 - Centris.ca",13199218,https://www.centris.ca/fr/terrain~a-vendre~shannon/13199218,https://mspublic.centris.ca/media.ashx?id=ADDD250DEB99174DDDDDDDDDDC&t=pi&w=320&h=240&sm=c,55 000 $,Terrain à vendre,"1, Chemin de Dublin",Shannon,38 735 pc
2,"Terrain à vendre à Stoneham-et-Tewkesbury, Capitale-Nationale, 1550, Chemin de la Grande-Ligne, 11774684 - Centris.ca",11774684,https://www.centris.ca/fr/terrain~a-vendre~stoneham-et-tewkesbury/11774684,https://mspublic.centris.ca/media.ashx?id=ADDD250DC6D70A1DDDDDDDDDD4&t=pi&w=320&h=240&sm=c,795 000 $,Terrain à vendre,"1550, Chemin de la Grande-Ligne",Stoneham-et-Tewkesbury,1 000 000 pc
3,"Maison à vendre à Boischatel, Capitale-Nationale, 98, Avenue de Charleville, 25969675 - Centris.ca",25969675,https://www.centris.ca/fr/maison~a-vendre~boischatel/25969675,https://mspublic.centris.ca/media.ashx?id=ADDD250DE07EFCBDDDDDDDDDDD&t=pi&w=320&h=240&sm=c,694 900 $,Maison à vendre,"98, Avenue de Charleville",Boischatel,-
4,"Duplex à vendre à Lac-Delage, Capitale-Nationale, 94 - 96, Avenue des Monts, 14237486 - Centris.ca",14237486,https://www.centris.ca/fr/duplex~a-vendre~lac-delage/14237486,https://mspublic.centris.ca/media.ashx?id=ADDD250DEF2359BDDDDDDDDDD0&t=pi&w=320&h=240&sm=c,824 000 $,Duplex à vendre,"94 - 96, Avenue des Monts",Lac-Delage,-
5,"Terre à vendre à Sainte-Brigitte-de-Laval, Capitale-Nationale, 8, Rue des Neiges, 11141826 - Centris.ca",11141826,https://www.centris.ca/fr/terre~a-vendre~sainte-brigitte-de-laval/11141826,https://mspublic.centris.ca/media.ashx?id=ADDD250DEBC414BDDDDDDDDDD2&t=pi&w=320&h=240&sm=c,95 000 $,Terre à vendre,"8, Rue des Neiges",Sainte-Brigitte-de-Laval,27 910 pc
6,"Chalet à vendre à Stoneham-et-Tewkesbury, Capitale-Nationale, 90Z, Chemin des Alpages, app. 29, 18357812 - Centris.ca",18357812,https://www.centris.ca/fr/chalet~a-vendre~stoneham-et-tewkesbury/18357812,https://mspublic.centris.ca/media.ashx?id=ADDD250DEA698FADDDDDDDDDDA&t=pi&w=320&h=240&sm=c,699 900 $,Chalet à vendre,"90Z, Chemin des Alpages, app. 29",Stoneham-et-Tewkesbury,-
7,"Condo à vendre à Lac-Beauport, Capitale-Nationale, 82, Chemin du Tour-du-Lac, app. 610, 14181486 - Centris.ca",14181486,https://www.centris.ca/fr/condo~a-vendre~lac-beauport/14181486,https://mspublic.centris.ca/media.ashx?id=ADDD250DEEED618DDDDDDDDDDB&t=pi&w=320&h=240&sm=c,196 500 $,Condo à vendre,"82, Chemin du Tour-du-Lac, app. 610",Lac-Beauport,-
8,"Maison à vendre à Château-Richer, Capitale-Nationale, 8172, Avenue Royale, 14357009 - Centris.ca",14357009,https://www.centris.ca/fr/maison~a-vendre~chateau-richer/14357009,https://mspublic.centris.ca/media.ashx?id=ADDD250DE084428DDDDDDDDDDA&t=pi&w=320&h=240&sm=c,249 900 $,Maison à vendre,"8172, Avenue Royale",Château-Richer,-
9,"Maison à vendre à Stoneham-et-Tewkesbury, Capitale-Nationale, 111Z - 111AZ, Montée de la Nichée, 13682317 - Centris.ca",13682317,https://www.centris.ca/fr/maison~a-vendre~stoneham-et-tewkesbury/13682317,https://mspublic.centris.ca/media.ashx?id=ADDD250DE28E720DDDDDDDDDD4&t=pi&w=320&h=240&sm=c,674 900 $,Maison à vendre,"111Z - 111AZ, Montée de la Nichée",Stoneham-et-Tewkesbury,-
10,"Maison à vendre à Sainte-Catherine-de-la-Jacques-Cartier, Capitale-Nationale, Rue de la Tourbière, 24331533 - Centris.ca",24331533,https://www.centris.ca/fr/maison~a-vendre~sainte-catherine-de-la-jacques-cartier/24331533,https://mspublic.centris.ca/media.ashx?id=ADDD250DC059A92DDDDDDDDDDD&t=pi&w=320&h=240&sm=c,426 600 $,Maison à vendre,Rue de la Tourbière,Sainte-Catherine-de-la-Jacques-Cartier,-
11,"Maison à vendre à Boischatel, Capitale-Nationale, 129, Avenue de Charleville, 16652025 - Centris.ca",16652025,https://www.centris.ca/fr/maison~a-vendre~boischatel/16652025,https://mspublic.centris.ca/media.ashx?id=ADDD250DE0C8FB9DDDDDDDDDD1&t=pi&w=320&h=240&sm=c,528 800 $,Maison à vendre,"129, Avenue de Charleville",Boischatel,-
